time,value
1544803849,1567.000
1544803863,1441.000
1544803878,1520.000
1544803892,1461.000
1544803907,1453.000
1544803921,1658.000
1544803936,1449.000
1544803950,1411.000
1544803965,1256.000
1544803979,1499.000
1544803994,1468.000
1544804008,1539.000
1544804023,1260.000
1544804037,1394.000
1544804052,1162.000
1544804066,1440.000
1544804081,1518.000
1544804095,1458.000
1544804110,1494.000
1544804124,1523.000
1544804139,1354.000
1544804153,1367.000
1544804168,1509.000
1544804182,1476.000
1544804197,1505.000
1544804211,1426.000
1544804226,1378.000
1544804240,1510.000
1544804255,1266.000
1544804269,1461.000
1544804284,1477.000
1544804298,1452.000
1544804313,1465.000
1544804327,1144.000
1544804342,1476.000
1544804356,978.000
1544804371,1476.000
1544804385,1446.000
1544804400,1288.000
1544804414,1384.000
1544804429,1544.000
1544804443,1496.000
1544804458,1535.000
1544804472,1545.000
1544804487,1468.000
1544804501,1410.000
1544804516,1371.000
1544804530,1580.000
