time,value
1544794131,143.333
1544794149,143.333
1544794167,146.667
1544794185,143.333
1544794203,146.667
1544794221,143.333
1544794239,143.333
1544794257,146.667
1544794275,143.333
1544794293,146.667
1544794311,146.667
1544794329,143.333
1544794347,146.667
1544794365,146.667
1544794383,143.333
1544794401,143.333
1544794419,143.333
1544794437,143.333
1544794455,146.667
1544794473,143.333
1544794491,146.667
1544794509,143.333
1544794527,146.667
1544794545,143.333
1544794563,146.667
1544794581,146.667
1544794599,146.667
1544794617,143.333
1544794635,146.667
1544794653,143.333
1544794671,143.333
1544794689,146.667
1544794707,143.333
1544794725,143.333
1544794743,143.333
1544794761,146.667
1544794779,146.667
1544794797,146.667
1544794815,143.333
1544794833,146.667
1544794851,143.333
1544794869,146.667
1544794887,143.333
1544794905,146.667
1544794923,146.667
1544794941,143.333
1544794959,146.667
1544794977,143.333
