time,value
1544790574,1.371
1544790587,1.373
1544790600,1.370
1544790614,1.368
1544790628,1.368
1544790642,1.373
1544790656,1.373
1544790669,1.369
1544790683,1.393
1544790697,1.371
1544790710,1.366
1544790724,1.397
1544790737,1.369
1544790751,1.370
1544790765,1.373
1544790779,1.366
1544790793,1.381
1544790806,1.367
1544790820,1.375
1544790834,1.369
1544790848,1.378
1544790862,1.374
1544790875,1.372
1544790889,1.372
1544790903,1.372
1544790917,1.374
1544790930,1.372
1544790944,1.378
1544790958,1.370
1544790971,1.373
1544790985,1.379
1544790999,1.427
1544791012,1.371
1544791025,1.389
1544791039,1.375
1544791052,1.374
1544791066,1.382
1544791080,1.373
1544791093,1.378
1544791107,1.377
1544791121,1.374
1544791135,1.377
1544791148,1.378
1544791162,1.381
1544791175,1.373
1544791189,1.379
1544791203,1.377
1544791217,1.379
