time,value
1544858555,2220847.953
1544858618,2265998.532
1544858680,2262002.806
1544858742,2254653.800
1544858804,2265791.626
1544858865,2213638.345
1544858927,2246795.807
1544858990,2246947.113
1544859053,2258239.329
1544859116,2258136.925
1544859179,2273472.452
1544859242,2254348.104
1544859304,2246846.240
1544859367,2273446.328
1544859430,2265765.766
1544859493,2246795.807
1544859554,2236176.716
1544859617,2250660.661
1544859680,2235555.556
1544859743,2281839.118
1544859806,2304941.421
1544859869,2246846.240
1544859930,2254348.104
1544859993,2254348.104
1544860055,2292937.794
1544860118,2250584.627
1544860181,2262002.806
1544860244,2273472.452
1544860307,2277312.733
1544860369,2228153.054
1544860432,2213517.783
1544860495,2224733.194
1544860558,2265869.211
1544860621,2152133.137
1544860683,2250787.394
1544860746,2265869.211
1544860809,2228128.461
1544860872,2269606.047
1544860935,1924266.494
1544860994,2281205.530
1544861057,2286186.605
1544861120,2243132.693
1544861183,2243433.835
1544861246,2083318.059
1544861308,2239293.943
1544861371,2210260.754
1544861434,2281839.118
1544861497,2258162.525
