time,value
1544858600,153.333
1544858662,153.333
1544858723,146.875
1544858785,143.750
1544858847,153.333
1544858909,153.333
1544858971,146.875
1544859034,146.875
1544859097,143.750
1544859160,146.875
1544859223,146.875
1544859286,153.333
1544859349,153.333
1544859411,146.875
1544859475,153.333
1544859535,146.875
1544859598,146.875
1544859662,153.333
1544859725,156.667
1544859787,146.875
1544859851,153.333
1544859911,146.875
1544859974,146.875
1544860036,146.875
1544860099,146.875
1544860162,146.875
1544860225,146.875
1544860289,156.667
1544860351,153.333
1544860413,153.333
1544860476,146.875
1544860540,153.333
1544860602,146.875
1544860665,153.333
1544860727,146.875
1544860790,146.875
1544860853,143.750
1544860916,146.875
1544860975,146.875
1544861038,146.875
1544861101,146.875
1544861164,146.875
1544861227,143.750
1544861289,146.875
1544861353,153.333
1544861416,153.333
1544861478,143.750
1544861541,143.750
