time,value
1544858570,1.561
1544858633,1.554
1544858696,1.562
1544858758,1.565
1544858819,1.557
1544858880,1.551
1544858942,1.554
1544859005,1.553
1544859068,1.557
1544859131,1.549
1544859194,1.543
1544859257,1.556
1544859320,1.556
1544859382,1.581
1544859446,1.554
1544859508,1.547
1544859570,1.550
1544859633,1.556
1544859695,1.603
1544859758,1.549
1544859822,1.551
1544859884,1.550
1544859945,1.564
1544860008,1.602
1544860070,1.547
1544860133,1.553
1544860196,1.554
1544860260,1.560
1544860323,1.702
1544860385,1.556
1544860447,1.547
1544860511,1.553
1544860573,1.553
1544860637,1.650
1544860698,1.550
1544860761,1.554
1544860825,1.560
1544860887,1.550
1544860948,1.575
1544861009,1.550
1544861072,1.549
1544861135,1.543
1544861199,1.547
1544861262,1.567
1544861324,1.559
1544861387,1.560
1544861449,1.561
1544861512,1.561
