time,value
1544804804,2519890.643
1544804870,2520449.908
1544804938,2467725.802
1544805007,2535477.596
1544805075,2549812.858
1544805142,2523165.155
1544805210,2524623.954
1544805278,2530075.581
1544805346,2540914.472
1544805414,2552360.692
1544805482,2557254.495
1544805550,2482888.623
1544805618,2547400.352
1544805686,2545125.204
1544805755,2550017.922
1544805824,2572373.922
1544805892,2526356.561
1544805961,2543130.329
1544806029,2516116.285
1544806098,2539351.130
1544806166,2501488.469
1544806234,2542722.743
1544806302,2541734.915
1544806370,2546006.636
1544806437,2553055.235
1544806505,2553475.216
1544806572,2549902.624
1544806640,2514664.930
1544806709,2561028.954
1544806776,2460974.959
1544806843,2397842.336
1544806911,2555138.010
1544806979,2547221.890
1544807046,2533876.301
1544807113,2483823.370
1544807181,2537899.797
1544807249,2550647.843
1544807316,2531695.488
1544807384,2459192.352
1544807454,2536457.738
1544807521,2544982.961
1544807588,2555741.078
1544807657,2561073.837
1544807725,2556326.235
1544807792,2554466.177
1544807858,2557640.258
1544807925,2546570.244
1544807993,2452730.845
