time,value
1544804849,129.412
1544804918,129.412
1544804987,126.471
1544805055,129.412
1544805122,129.412
1544805190,129.412
1544805258,129.412
1544805326,129.412
1544805393,125.000
1544805462,129.412
1544805529,125.000
1544805598,126.471
1544805665,122.222
1544805734,125.000
1544805804,129.412
1544805872,129.412
1544805940,125.000
1544806009,129.412
1544806078,129.412
1544806145,125.000
1544806213,129.412
1544806282,129.412
1544806349,125.000
1544806417,129.412
1544806485,129.412
1544806552,129.412
1544806619,125.000
1544806689,129.412
1544806756,129.412
1544806823,129.412
1544806891,129.412
1544806959,132.353
1544807026,129.412
1544807093,132.353
1544807160,122.222
1544807228,125.000
1544807296,129.412
1544807364,132.353
1544807433,125.000
1544807501,129.412
1544807568,132.353
1544807636,125.000
1544807705,129.412
1544807772,126.471
1544807838,129.412
1544807905,132.353
1544807972,125.000
1544808040,132.353
