time,value
1544804818,1.384
1544804886,1.384
1544804954,1.382
1544805023,1.385
1544805091,1.385
1544805158,1.388
1544805226,1.393
1544805294,1.412
1544805362,1.379
1544805430,1.380
1544805498,1.395
1544805566,1.385
1544805634,1.389
1544805702,1.381
1544805771,1.382
1544805841,1.382
1544805908,1.414
1544805977,1.382
1544806045,1.381
1544806114,1.380
1544806182,1.380
1544806250,1.379
1544806318,1.386
1544806386,1.383
1544806453,1.380
1544806521,1.381
1544806588,1.380
1544806656,1.382
1544806725,1.387
1544806792,1.380
1544806860,1.382
1544806927,1.383
1544806995,1.378
1544807062,1.384
1544807129,1.381
1544807197,1.380
1544807265,1.381
1544807332,1.389
1544807401,1.377
1544807470,1.413
1544807537,1.378
1544807604,1.381
1544807672,1.381
1544807740,1.384
1544807807,1.381
1544807874,1.380
1544807941,1.382
1544808009,1.379
