time,value
1544873918,32940.406
1544874034,33096.460
1544874151,32837.185
1544874268,33005.249
1544874386,32430.690
1544874504,33227.639
1544874621,32721.832
1544874739,32875.817
1544874856,33267.196
1544874972,33439.702
1544875089,33083.399
1544875206,32966.313
1544875323,32645.379
1544875438,32798.644
1544875556,32721.832
1544875674,32875.817
1544875791,32619.974
1544875909,32405.618
1544876028,30319.470
1544876147,33031.258
1544876262,32914.540
1544876379,32966.313
1544876497,32734.609
1544876614,33240.814
1544876731,32862.930
1544876849,32811.481
1544876966,33018.249
1544877082,33018.249
1544877200,32734.609
1544877318,32824.328
1544877434,32747.396
1544877552,33148.807
1544877669,32979.281
1544877785,33188.176
1544877902,32953.354
1544878019,32231.193
1544878137,33254.000
1544878254,33175.043
1544878369,32581.941
1544878484,33096.460
1544878601,32966.313
1544878719,32824.328
1544878837,32979.281
1544878954,31900.051
1544879072,33031.258
1544879189,33083.399
1544879306,33005.249
1544879423,32992.260
