time,value
1544804849,129.412
1544804918,129.412
1544804987,126.471
1544805055,129.412
1544805122,129.412
1544805190,129.412
1544805258,129.412
1544805326,129.412
1544805393,125.000
1544805462,129.412
1544805529,125.000
1544805598,126.471
1544805665,122.222
1544805734,125.000
1544805804,129.412
1544805872,129.412
1544805940,125.000
1544806009,129.412
1544806078,129.412
1544806145,125.000
1544806213,129.412
1544806282,129.412
1544806349,125.000
1544806417,129.412
1544806485,129.412
1544806552,129.412
1544806619,125.000
1544806689,129.412
1544806756,129.412
1544806823,129.412
1544806891,129.412
1544806959,132.353
1544807026,129.412
1544807093,132.353
1544807160,122.222
1544807228,125.000
1544807296,129.412
1544807364,132.353
1544807433,125.000
1544807501,129.412
1544807568,132.353
1544807636,125.000
1544807705,129.412
1544807772,126.471
1544807838,129.412
1544807905,132.353
1544807972,125.000
1544808040,132.353
1544825903,146.875
1544825966,146.875
1544826029,146.875
1544826093,146.875
1544826155,146.875
1544826218,146.875
1544826281,146.875
1544826343,146.875
1544826405,146.875
1544826469,146.875
1544826532,143.750
1544826593,146.875
1544826657,153.333
1544826719,143.750
1544826781,146.875
1544826844,146.875
1544826907,146.875
1544826970,143.750
1544827031,146.875
1544827095,153.333
1544827157,146.875
1544827220,146.875
1544827283,143.750
1544827347,153.333
1544827408,146.875
1544827471,146.875
1544827534,146.875
1544827597,146.875
1544827660,146.875
1544827725,146.875
1544827788,143.750
1544827851,153.333
1544827912,146.875
1544827975,143.750
1544828038,146.875
1544828101,143.750
1544828164,146.875
1544828226,146.875
1544828289,143.750
1544828352,146.875
1544828415,146.875
1544828479,153.333
1544828542,153.333
1544828602,143.750
1544828666,156.667
1544828729,153.333
1544828791,146.875
1544828853,143.750
