time,value
1544873951,40.530
1544874067,41.120
1544874184,40.420
1544874301,41.370
1544874420,40.870
1544874538,40.490
1544874655,40.450
1544874773,40.440
1544874889,40.330
1544875006,40.830
1544875122,40.340
1544875239,41.000
1544875357,40.300
1544875472,40.760
1544875590,40.920
1544875708,40.570
1544875825,40.940
1544875943,40.730
1544876063,40.590
1544876180,40.570
1544876295,40.360
1544876412,40.370
1544876530,41.070
1544876647,40.480
1544876765,41.090
1544876882,40.600
1544876999,40.360
1544877116,40.840
1544877234,40.670
1544877352,40.600
1544877468,40.660
1544877585,40.610
1544877703,41.030
1544877818,40.320
1544877935,40.330
1544878053,40.980
1544878170,40.600
1544878287,40.320
1544878403,40.500
1544878517,40.430
1544878634,41.480
1544878753,40.640
1544878871,40.400
1544878988,41.020
1544879106,40.470
1544879223,40.530
1544879339,40.540
1544879456,40.690
